t,avg_m,avg_s,corruption_rate,Bystander,Perpetrator,Colluder,Whistleblower,Enforcer,Neutral
0,0.016529213351135337,-0.0053696816404412645,0.4768,0.629,0.12,0.1084,0.0908,0.0426,0.0092
1,0.005164901415731232,-0.010560195233363424,0.5014,0.6194,0.12,0.1156,0.0842,0.0452,0.0156
2,-0.006733397706442011,-0.015094047216114358,0.4994,0.606,0.12,0.1264,0.0806,0.0458,0.0212
3,-0.017742847909027276,-0.01837224406923995,0.4978,0.5978,0.12,0.131,0.0776,0.0472,0.0264
4,-0.028578744042825916,-0.02086931214974556,0.503,0.5916,0.12,0.1348,0.076,0.0476,0.03
5,-0.03708159508064203,-0.02214863378659571,0.4884,0.5328,0.1196,0.1046,0.083,0.0352,0.1248
6,-0.04343728415006069,-0.021509298371749218,0.3868,0.5174,0.1196,0.1082,0.0802,0.036,0.1386
7,-0.04920902947393492,-0.020291718991862297,0.3924,0.5002,0.1196,0.1132,0.0788,0.036,0.1522
8,-0.054823739828908036,-0.01925053386701055,0.3964,0.4856,0.1196,0.1184,0.0782,0.036,0.1622
9,-0.06060760698458178,-0.018230736124877474,0.3872,0.4704,0.1196,0.1222,0.0776,0.036,0.1742
10,-0.06578131148732022,-0.016905594772352726,0.3968,0.4542,0.1196,0.127,0.0766,0.036,0.1866
11,-0.07073772176619642,-0.015657410066268036,0.388,0.4368,0.1196,0.1318,0.0758,0.036,0.2
12,-0.07550846627297902,-0.01467218148723103,0.4004,0.421,0.1196,0.1358,0.0752,0.036,0.2124
13,-0.0796192947957364,-0.013462220693594424,0.3904,0.4068,0.1196,0.139,0.075,0.036,0.2236
14,-0.08420655058552573,-0.012923896733335175,0.3912,0.3918,0.1196,0.142,0.0746,0.036,0.236
15,-0.08801041279026751,-0.011826170323197263,0.381,0.3774,0.1196,0.144,0.0744,0.036,0.2486
16,-0.09153748369946908,-0.010906913869942497,0.3816,0.3608,0.1196,0.1482,0.0744,0.036,0.261
17,-0.09508118476403545,-0.01028847882019067,0.387,0.3442,0.1196,0.1526,0.074,0.036,0.2736
18,-0.09877256998599035,-0.009987033389770335,0.3982,0.3294,0.1196,0.1554,0.074,0.036,0.2856
19,-0.10176757597796882,-0.009449756699976969,0.4006,0.3126,0.1196,0.1596,0.0738,0.036,0.2984
